dataset_logico_id,fonte_id,ente,ambito,perimetro,tabelle_finali,indicatori,frequenza,stato,note
inps_pensioni_vigenti,inps_open_data,INPS,stock_pensioni,"Pensioni vigenti pensionati importi eta sesso territorio","tabella_annuale_pensioni; tabella_distribuzione_pensionati; tabella_territoriale","pensioni_vigenti; pensionati; importo_medio_pensione; pensionati_per_classe_importo",annuale,definito,"Fonte logica principale per trattamenti e beneficiari. Da collegare al dataset tecnico INPS selezionato."
inps_pensioni_liquidate,inps_open_data,INPS,flussi_pensionamento,"Nuove pensioni liquidate per decorrenza gestione tipologia eta sesso territorio",tabella_flussi_pensionamento,pensioni_liquidate,annuale,definito,"Serve per analizzare ingressi nel sistema e canali di pensionamento."
inps_bilancio_rendiconto,inps_bilanci,INPS,bilancio_inps,"Rendiconto bilancio entrate contributive prestazioni trasferimenti",tabella_annuale_pensioni,"spesa_pensionistica_inps; entrate_contributive_inps; trasferimenti_stato_inps",annuale,definito,"Fonte principale per coerenza contabile INPS."
inps_gias_gestioni,inps_bilanci,INPS,gestioni_e_gias,"Gestioni previdenziali GIAS coperture disavanzi trasferimenti",tabella_gestioni,"spesa_gias; trasferimenti_gias; saldo_gestione",annuale,definito,"Serve per distinguere previdenza assistenza e sostegni alle gestioni."
inps_requisiti_pensionamento,inps_open_data,INPS,parametri_sistema,"Requisiti pensione vecchiaia anticipata canali di uscita",tabella_parametri_sistema,"eta_legale_pensione; eta_effettiva_uscita",annuale,definito,"Da integrare con schede INPS e normativa vigente."
inps_coefficienti_trasformazione,inps_open_data,INPS,parametri_sistema,"Coefficienti di trasformazione per eta nel sistema contributivo",tabella_parametri_sistema,coefficiente_trasformazione,biennale,definito,"Da aggiornare quando cambiano i coefficienti."
istat_popolazione_eta,istat,ISTAT,demografia,"Popolazione residente per eta sesso territorio",tabella_demografia_lavoro,popolazione_per_eta,annuale,definito,"Base per piramide demografica e dependency ratio."
istat_previsioni_popolazione,istat,ISTAT,demografia,"Previsioni popolazione per eta scenario territorio",tabella_demografia_lavoro,popolazione_per_eta,annuale,definito,"Usare scenario e anno base dichiarati."
istat_fecondita,istat,ISTAT,demografia,"Tasso di fecondita totale e nascite",tabella_demografia_lavoro,tasso_fecondita,annuale,definito,"Distinguere dato storico e scenario."
istat_occupati,istat,ISTAT,lavoro,"Occupati per eta sesso territorio",tabella_demografia_lavoro,occupati,trimestrale_o_annuale,definito,"Serve per pensionati su occupati."
istat_produttivita_salari,istat,ISTAT,lavoro,"Produttivita lavoro retribuzioni salari reali",tabella_demografia_lavoro,"produttivita_lavoro; salario_reale",annuale,definito,"Definizione da fissare nella trasformazione."
openbdap_bilancio_stato,openbdap,MEF_RGS,finanza_pubblica,"Bilancio Stato trasferimenti missioni programmi spesa",tabella_annuale_pensioni,"trasferimenti_stato_inps; spesa_pubblica_totale; interessi_passivi",annuale,definito,"Fonte per collegare bilancio pubblico e INPS."
rgs_tendenze_pensioni,rgs_rapporti,MEF_RGS,previsioni_pensioni,"Rapporto RGS su tendenze di medio lungo periodo",tabella_parametri_sistema,"spesa_pensionistica_pil; tasso_sostituzione; scenario_riforma_pensioni",annuale,definito,"Fonte per scenari e ipotesi macro demografiche."
eurostat_esspros_pensioni,eurostat,Eurostat,confronto_europeo,"ESSPROS spesa sociale pensioni vecchiaia superstiti invalidita",tabella_confronto_europeo,spesa_pensionistica_pil,annuale,definito,"Per confronti armonizzati europei."
eurostat_demo_lavoro,eurostat,Eurostat,confronto_europeo,"Demografia lavoro occupazione popolazione per eta",tabella_confronto_europeo,"occupati; popolazione_per_eta; tasso_fecondita",annuale,definito,"Per confronti europei coerenti."
covip_statistiche,covip,COVIP,previdenza_complementare,"Iscritti aderenti contributi risorse destinate alle prestazioni",tabella_previdenza_complementare,"aderenti_previdenza_complementare; asset_fondi_pensione",annuale,definito,"Fonte italiana per fondi pensione e previdenza complementare."
mef_dichiarazioni_pensionati,mef_finanze,MEF,redditi_fisco,"Redditi da pensione IRPEF dichiarazioni contribuenti",tabella_distribuzione_pensionati,"importo_medio_pensionato; pensionati_per_classe_importo",annuale,definito,"Da usare per analisi nette o fiscali con cautela."
oecd_taxing_wages,oecd,OECD,confronto_lavoro,"Tax wedge cuneo fiscale lavoratore tipo",tabella_confronto_europeo,cuneo_fiscale_lavoro,annuale,definito,"Fonte comparabile internazionale per cuneo fiscale."
oecd_pensions,oecd,OECD,confronto_pensioni,"Pensions at a Glance eta effettiva tassi sostituzione asset pension funds",tabella_confronto_europeo,"eta_effettiva_uscita; tasso_sostituzione; asset_fondi_pensione_pil",biennale,definito,"Fonte comparabile internazionale pensioni."
normativa_pensioni,normattiva,Normattiva,parametri_sistema,"Norme su aliquote perequazione requisiti deroghe",tabella_parametri_sistema,"aliquota_contributiva_ivs; perequazione_pensioni; eta_legale_pensione",variabile,definito,"Serve per storicizzare regole tecniche e deroghe."
